更新时间: 2026-04-16 16:57:29（北京时间）

更新时间,#genre#
2026-04-16 16:57:29,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV15,http://221.219.75.32:4000/rtp/239.3.1.153:8136$北京市联通
CCTV15,http://171.8.84.159:8800/rtp/239.16.20.15:10150$河南电信
CCTV15,http://27.8.51.243:4022/rtp/225.0.4.220:7980$重庆市联通
CCTV16,http://60.220.163.54:4022/rtp/226.0.2.169:9264$山西联通
CCTV16,http://180.173.121.65:9999/rtp/233.18.204.82:5140$上海市电信
CCTV16,http://180.173.121.65:9999/rtp/233.18.204.114:5140$上海市电信
CCTV16,http://180.173.121.65:9999/rtp/233.18.204.215:5140$上海市电信
CCTV16,http://221.219.75.32:4000/rtp/239.3.1.184:8001$北京市联通
CCTV16,http://221.219.75.32:4000/rtp/239.3.1.183:8001$北京市联通
CCTV17,http://60.220.163.54:4022/rtp/226.0.2.170:9272$山西联通
CCTV17,http://180.173.121.65:9999/rtp/233.18.204.83:5140$上海市电信
CCTV17,http://221.219.75.32:4000/rtp/239.3.1.151:8144$北京市联通
CCTV17,http://171.8.84.159:8800/rtp/239.16.20.7:10070$河南电信
CCTV17,http://27.8.51.243:4022/rtp/225.0.4.179:7980$重庆市联通
CCTV4K,http://180.173.121.65:9999/rtp/233.18.204.188:5140$上海市电信
CCTV4K,http://180.173.121.65:9999/rtp/233.18.204.204:5140$上海市电信
CCTV4K,http://221.219.75.32:4000/rtp/239.3.1.244:2000$北京市联通
CCTV4K,http://221.219.75.32:4000/rtp/239.3.1.245:2000$北京市联通
兵器科技,http://60.220.163.54:4022/rtp/226.0.2.223:9696$山西联通
兵器科技,http://180.173.121.65:9999/rtp/233.18.204.178:5140$上海市电信
风云音乐,http://60.220.163.54:4022/rtp/226.0.2.220:9672$山西联通
风云音乐,http://180.173.121.65:9999/rtp/233.18.204.185:5140$上海市电信
风云足球,http://60.220.163.54:4022/rtp/226.0.2.225:9712$山西联通
风云足球,http://180.173.121.65:9999/rtp/233.18.204.176:5140$上海市电信
风云剧场,http://60.220.163.54:4022/rtp/226.0.2.227:9728$山西联通
风云剧场,http://180.173.121.65:9999/rtp/233.18.204.183:5140$上海市电信
怀旧剧场,http://60.220.163.54:4022/rtp/226.0.2.224:9704$山西联通
怀旧剧场,http://180.173.121.65:9999/rtp/233.18.204.182:5140$上海市电信
第一剧场,http://60.220.163.54:4022/rtp/226.0.2.221:9680$山西联通
第一剧场,http://180.173.121.65:9999/rtp/233.18.204.184:5140$上海市电信
女性时尚,http://60.220.163.54:4022/rtp/226.0.2.226:9720$山西联通
女性时尚,http://180.173.121.65:9999/rtp/233.18.204.180:5140$上海市电信
世界地理,http://60.220.163.54:4022/rtp/226.0.2.222:9688$山西联通
世界地理,http://180.173.121.65:9999/rtp/233.18.204.179:5140$上海市电信
央视台球,http://60.220.163.54:4022/rtp/226.0.2.216:9640$山西联通
央视台球,http://180.173.121.65:9999/rtp/233.18.204.177:5140$上海市电信
高尔夫网球,http://180.173.121.65:9999/rtp/233.18.204.181:5140$上海市电信
央视文化精品,http://60.220.163.54:4022/rtp/226.0.2.219:9664$山西联通
央视文化精品,http://180.173.121.65:9999/rtp/233.18.204.186:5140$上海市电信
电视指南,http://60.220.163.54:4022/rtp/226.0.2.218:9656$山西联通
中学生,http://27.8.51.243:4022/rtp/225.0.4.184:7980$重庆市联通
国学频道,http://60.220.163.54:4022/rtp/226.0.2.116:8840$山西联通
国学频道,http://171.8.84.159:8800/rtp/239.16.20.232:12320$河南电信
环球奇观,http://60.220.163.54:4022/rtp/226.0.2.111:8800$山西联通

卫视频道,#genre#
湖南卫视,http://60.220.163.54:4022/rtp/226.0.2.143:9056$山西联通
湖南卫视,http://180.173.121.65:9999/rtp/233.18.204.227:5140$上海市电信
湖南卫视,http://180.173.121.65:9999/rtp/233.18.204.86:5140$上海市电信
湖南卫视,http://221.219.75.32:4000/rtp/239.3.1.132:8012$北京市联通
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720$河南电信
湖南卫视,http://27.8.51.243:4022/rtp/225.0.4.107:7980$重庆市联通
湖南卫视,http://27.8.51.243:4022/rtp/225.0.4.75:7980$重庆市联通
浙江卫视,http://60.220.163.54:4022/rtp/226.0.2.144:9064$山西联通
浙江卫视,http://180.173.121.65:9999/rtp/233.18.204.229:5140$上海市电信
浙江卫视,http://180.173.121.65:9999/rtp/233.18.204.84:5140$上海市电信
浙江卫视,http://221.219.75.32:4000/rtp/239.3.1.137:8036$北京市联通
浙江卫视,http://171.8.84.159:8800/rtp/239.16.20.71:10710$河南电信
浙江卫视,http://27.8.51.243:4022/rtp/225.0.4.105:7980$重庆市联通
浙江卫视,http://27.8.51.243:4022/rtp/225.0.4.81:7980$重庆市联通
江苏卫视,http://60.220.163.54:4022/rtp/226.0.2.176:9320$山西联通
江苏卫视,http://180.173.121.65:9999/rtp/233.18.204.85:5140$上海市电信
江苏卫视,http://221.219.75.32:4000/rtp/239.3.1.135:8028$北京市联通
江苏卫视,http://171.8.84.159:8800/rtp/239.16.20.74:10740$河南电信
江苏卫视,http://27.8.51.243:4022/rtp/225.0.4.79:7980$重庆市联通
东方卫视,http://60.220.163.54:4022/rtp/226.0.2.175:9312$山西联通
东方卫视,http://180.173.121.65:9999/rtp/233.18.204.224:5140$上海市电信
东方卫视,http://180.173.121.65:9999/rtp/233.18.204.51:5140$上海市电信
东方卫视,http://221.219.75.32:4000/rtp/239.3.1.136:8032$北京市联通
东方卫视,http://171.8.84.159:8800/rtp/239.16.20.73:10730$河南电信
东方卫视,http://27.8.51.243:4022/rtp/225.0.4.103:7980$重庆市联通
东方卫视,http://27.8.51.243:4022/rtp/225.0.4.80:7980$重庆市联通
深圳卫视,http://60.220.163.54:4022/rtp/226.0.2.147:9088$山西联通
深圳卫视,http://180.173.121.65:9999/rtp/233.18.204.219:5140$上海市电信
深圳卫视,http://180.173.121.65:9999/rtp/233.18.204.89:5140$上海市电信
深圳卫视,http://221.219.75.32:4000/rtp/239.3.1.134:8020$北京市联通
深圳卫视,http://171.8.84.159:8800/rtp/239.16.20.77:10770$河南电信
深圳卫视,http://27.8.51.243:4022/rtp/225.0.4.101:7980$重庆市联通
深圳卫视,http://27.8.51.243:4022/rtp/225.0.4.202:7980$重庆市联通
北京卫视,http://60.220.163.54:4022/rtp/226.0.2.177:9328$山西联通
北京卫视,http://180.173.121.65:9999/rtp/233.18.204.209:5140$上海市电信
北京卫视,http://180.173.121.65:9999/rtp/233.18.204.87:5140$上海市电信
北京卫视,http://221.219.75.32:4000/rtp/239.3.1.241:8000$北京市联通
北京卫视,http://171.8.84.159:8800/rtp/239.16.20.76:10760$河南电信
北京卫视,http://27.8.51.243:4022/rtp/225.0.4.122:7980$重庆市联通
北京卫视,http://27.8.51.243:4022/rtp/225.0.4.78:7980$重庆市联通
广东卫视,http://60.220.163.54:4022/rtp/226.0.2.146:9080$山西联通
广东卫视,http://180.173.121.65:9999/rtp/233.18.204.218:5140$上海市电信
广东卫视,http://180.173.121.65:9999/rtp/233.18.204.88:5140$上海市电信
广东卫视,http://221.219.75.32:4000/rtp/239.3.1.142:8048$北京市联通
广东卫视,http://171.8.84.159:8800/rtp/239.16.20.98:10980$河南电信
广东卫视,http://27.8.51.243:4022/rtp/225.0.4.102:7980$重庆市联通
广东卫视,http://27.8.51.243:4022/rtp/225.0.4.84:7980$重庆市联通
广西卫视,http://60.220.163.54:4022/rtp/226.0.2.231:9760$山西联通
广西卫视,http://180.173.121.65:9999/rtp/233.18.204.107:5140$上海市电信
广西卫视,http://221.219.75.32:4000/rtp/239.3.1.39:8300$北京市联通
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840$河南电信
东南卫视,http://60.220.163.54:4022/rtp/226.0.2.188:9416$山西联通
东南卫视,http://180.173.121.65:9999/rtp/233.18.204.94:5140$上海市电信
东南卫视,http://221.219.75.32:4000/rtp/239.3.1.156:8148$北京市联通
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820$河南电信
东南卫视,http://27.8.51.243:4022/rtp/225.0.4.200:7980$重庆市联通
海南卫视,http://60.220.163.54:4022/rtp/226.0.2.212:9608$山西联通
海南卫视,http://221.219.75.32:4000/rtp/239.3.1.45:8304$北京市联通
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
河北卫视,http://60.220.163.54:4022/rtp/226.0.2.178:9336$山西联通
河北卫视,http://180.173.121.65:9999/rtp/233.18.204.103:5140$上海市电信
河北卫视,http://221.219.75.32:4000/rtp/239.3.1.148:8072$北京市联通
河北卫视,http://171.8.84.159:8800/rtp/239.16.20.88:10880$河南电信
河北卫视,http://27.8.51.243:4022/rtp/225.0.4.174:7980$重庆市联通
河南卫视,http://60.220.163.54:4022/rtp/226.0.2.195:9472$山西联通
河南卫视,http://180.173.121.65:9999/rtp/233.18.204.105:5140$上海市电信
河南卫视,http://221.219.75.32:4000/rtp/239.3.1.50:8184$北京市联通
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210$河南电信
湖北卫视,http://60.220.163.54:4022/rtp/226.0.2.150:9112$山西联通
湖北卫视,http://180.173.121.65:9999/rtp/233.18.204.92:5140$上海市电信
湖北卫视,http://221.219.75.32:4000/rtp/239.3.1.138:8044$北京市联通
湖北卫视,http://171.8.84.159:8800/rtp/239.16.20.87:10870$河南电信
湖北卫视,http://27.8.51.243:4022/rtp/225.0.4.217:7980$重庆市联通
江西卫视,http://60.220.163.54:4022/rtp/226.0.2.198:9496$山西联通
江西卫视,http://180.173.121.65:9999/rtp/233.18.204.95:5140$上海市电信
江西卫视,http://221.219.75.32:4000/rtp/239.3.1.123:8164$北京市联通
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890$河南电信
江西卫视,http://27.8.51.243:4022/rtp/225.0.4.203:7980$重庆市联通
四川卫视,http://60.220.163.54:4022/rtp/226.0.2.179:9344$山西联通
四川卫视,http://180.173.121.65:9999/rtp/233.18.204.225:5140$上海市电信
四川卫视,http://180.173.121.65:9999/rtp/233.18.204.99:5140$上海市电信
四川卫视,http://221.219.75.32:4000/rtp/239.3.1.29:8288$北京市联通
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860$河南电信
四川卫视,http://27.8.51.243:4022/rtp/225.0.4.108:7980$重庆市联通
四川卫视,http://27.8.51.243:4022/rtp/225.0.4.204:7980$重庆市联通
重庆卫视,http://60.220.163.54:4022/rtp/226.0.2.174:9304$山西联通
重庆卫视,http://180.173.121.65:9999/rtp/233.18.204.100:5140$上海市电信
重庆卫视,http://221.219.75.32:4000/rtp/239.3.1.122:8160$北京市联通
重庆卫视,http://171.8.84.159:8800/rtp/239.16.20.79:10790$河南电信
重庆卫视,http://27.8.51.243:4022/rtp/225.0.4.187:7980$重庆市联通
贵州卫视,http://60.220.163.54:4022/rtp/226.0.2.180:9352$山西联通
贵州卫视,http://180.173.121.65:9999/rtp/233.18.204.101:5140$上海市电信
贵州卫视,http://221.219.75.32:4000/rtp/239.3.1.149:8076$北京市联通
贵州卫视,http://171.8.84.159:8800/rtp/239.16.20.81:10810$河南电信
贵州卫视,http://27.8.51.243:4022/rtp/225.0.4.175:7980$重庆市联通
云南卫视,http://180.173.121.65:9999/rtp/233.18.204.106:5140$上海市电信
云南卫视,http://221.219.75.32:4000/rtp/239.3.1.26:8108$北京市联通
云南卫视,http://171.8.84.159:8800/rtp/239.16.20.85:10850$河南电信
天津卫视,http://60.220.163.54:4022/rtp/226.0.2.148:9096$山西联通
天津卫视,http://180.173.121.65:9999/rtp/233.18.204.97:5140$上海市电信
天津卫视,http://221.219.75.32:4000/rtp/239.3.1.141:1234$北京市联通
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
天津卫视,http://27.8.51.243:4022/rtp/225.0.4.82:7980$重庆市联通
安徽卫视,http://60.220.163.54:4022/rtp/226.0.2.145:9072$山西联通
安徽卫视,http://180.173.121.65:9999/rtp/233.18.204.93:5140$上海市电信
安徽卫视,http://221.219.75.32:4000/rtp/239.3.1.211:8064$北京市联通
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
安徽卫视,http://27.8.51.243:4022/rtp/225.0.4.133:7980$重庆市联通
山东卫视,http://60.220.163.54:4022/rtp/226.0.2.149:9104$山西联通
山东卫视,http://180.173.121.65:9999/rtp/233.18.204.228:5140$上海市电信
山东卫视,http://180.173.121.65:9999/rtp/233.18.204.91:5140$上海市电信
山东卫视,http://221.219.75.32:4000/rtp/239.3.1.209:8052$北京市联通
山东卫视,http://171.8.84.159:8800/rtp/239.16.20.80:10800$河南电信
山东卫视,http://27.8.51.243:4022/rtp/225.0.4.106:7980$重庆市联通
山东卫视,http://27.8.51.243:4022/rtp/225.0.4.199:7980$重庆市联通
辽宁卫视,http://60.220.163.54:4022/rtp/226.0.2.173:9296$山西联通
辽宁卫视,http://180.173.121.65:9999/rtp/233.18.204.96:5140$上海市电信
辽宁卫视,http://221.219.75.32:4000/rtp/239.3.1.210:8056$北京市联通
辽宁卫视,http://171.8.84.159:8800/rtp/239.16.20.95:10950$河南电信
辽宁卫视,http://27.8.51.243:4022/rtp/225.0.4.98:7980$重庆市联通
黑龙江卫视,http://60.220.163.54:4022/rtp/226.0.2.151:9120$山西联通
黑龙江卫视,http://180.173.121.65:9999/rtp/233.18.204.90:5140$上海市电信
黑龙江卫视,http://221.219.75.32:4000/rtp/239.3.1.133:8016$北京市联通
黑龙江卫视,http://171.8.84.159:8800/rtp/239.16.20.99:10990$河南电信
黑龙江卫视,http://27.8.51.243:4022/rtp/225.0.4.201:7980$重庆市联通
吉林卫视,http://60.220.163.54:4022/rtp/226.0.2.199:9504$山西联通
吉林卫视,http://180.173.121.65:9999/rtp/233.18.204.108:5140$上海市电信
